L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,140,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,141,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,142,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,143,2011,2011,2011,9.9
B,B1,0,2011,1,1,1,na,144,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,145,2011,2011,2011,15.5
B,B1,0,2011,1,1,1,na,146,2011,2011,2011,10.3
B,B1,0,2011,1,1,1,na,147,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,148,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,149,2011,2011,2011,10
B,B1,0,2011,1,1,1,na,150,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,151,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,152,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,153,2011,2011,2011,14.3
B,B1,0,2011,1,1,1,na,154,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,155,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,156,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,157,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,158,2011,2011,2011,11.3
B,B1,0,2011,1,1,1,na,159,2011,2011,2011,11.7
B,B1,0,2011,1,1,1,na,160,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,161,2011,2011,2011,10.7
B,B1,0,2011,1,1,1,na,162,2011,2011,2011,14.4
B,B1,0,2011,1,1,1,na,163,2011,2011,2011,9.3
B,B1,0,2011,1,1,1,na,164,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,165,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,166,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,167,2011,2011,2011,12.3
B,B1,0,2011,1,1,1,na,168,2011,2011,2011,12.1
B,B1,0,2011,1,1,1,na,169,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,170,2011,2011,2011,12.3
B,B1,0,2011,1,1,1,na,171,2011,2011,2011,NA
